  CATÁLOGO DE HORARIOS DE APERTURA ACTUALIZADOS;;;;
;;;;
Nº;Nombre del Lugar;Ciudad / Región;Horario de Apertura;Observaciones y Consejos de Viaje
31;Templo Nishi Hongan-ji;Kioto, Japón;05:30 - 17:00;Entrada gratuita. Impresionante arquitectura de madera y sede del budismo Shin.
32;Templo Kiyomizu-dera, Cascada Otowa y Santuario Jishu;Kioto, Japón;06:00 - 18:00;Cierra a las 18:30 en verano. Ofrece vistas espectaculares desde su terraza de madera.
33;Calles Sannenzaka y Ninenzaka;Kioto, Japón;24 horas;Calles históricas protegidas. Las tiendas tradicionales abren de 10:00 a 18:00.
34;Santuario Yasaka y Parque Maruyama;Kioto, Japón;24 horas;El santuario se ilumina bellamente por la noche con cientos de farolillos.
35;Santuario Heian Jingu (Gran Torii);Kioto, Japón;06:00 - 17:30;El jardín interior (Shin-en) requiere entrada y opera de 08:30 a 17:00.
36;Barrios de Gion (Hanamikoji) y Pontocho;Kioto, Japón;24 horas;Distritos de geishas. Tiendas y casas de té operan principalmente por la tarde/noche.
37;Museo de Samuráis y Ninjas de Kioto;Kioto, Japón;10:00 - 19:00;Museo interactivo con experiencias de trajes y lanzamiento de shuriken.
38;Gion Shirakawa;Kioto, Japón;24 horas;Zona pintoresca junto al canal, muy tranquila y fotogénica.
39;Templo Kennin-ji;Kioto, Japón;10:00 - 17:00;El templo zen más antiguo de Kioto. Famoso por la pintura de los dragones gemelos en el techo.
40;Bosque de Bambú de Arashiyama y Templo Tenryu-ji;Arashiyama, Kioto, Japón;08:30 - 17:00;El bosque de bambú es de acceso libre 24h. El templo Tenryu-ji abre en el horario indicado.
41;Templo Adashino Nembutsuji;Arashiyama, Kioto, Japón;09:00 - 16:30;Conocido por sus miles de estatuas de piedra dedicadas a las almas solitarias.
42;Templo Otagi Nembutsuji;Arashiyama, Kioto, Japón;08:00 - 16:30;Famoso por sus 1200 estatuas Rakan de piedra con expresiones caprichosas y divertidas.
43;Puente Togetsukyo;Arashiyama, Kioto, Japón;24 horas;Símbolo icónico sobre el río Oi en Arashiyama de libre acceso.
44;Parque de Monos Iwatayama;Arashiyama, Kioto, Japón;09:00 - 16:00;Ubicado en la montaña. Se requiere una caminata cuesta arriba de unos 20 minutos.
45;Templo Ryoan-ji;Kioto, Japón;08:00 - 17:00;Alberga el jardín seco de rocas (karesansui) más famoso del mundo.
46;Barco tradicional por el río Hozugawa;Kameoka a Arashiyama, Kioto, Japón;09:00 - 15:30;Descenso fluvial en barca tradicional. Los horarios de salida varían según la temporada.
47;Templo Daikaku-ji;Kioto, Japón;09:00 - 17:00;Antiguo palacio imperial reconvertido en templo, con un gran estanque histórico.
48;Santuario Fushimi Inari-taisha;Kioto, Japón;24 horas;Famoso por sus miles de toriis rojos. Se recomienda visitarlo muy temprano o de noche.
49;Paseo del Filósofo;Kioto, Japón;24 horas;Camino empedrado junto a un canal flanqueado por cerezos. Libre acceso.
50;Templo Kinkaku-ji (Pabellón Dorado);Kioto, Japón;09:00 - 17:00;Estructura icónica recubierta de pan de oro. Imprescindible en la ruta de Kioto.
51;Distrito del Sake de Fushimi;Kioto, Japón;10:00 - 17:00;Zona con históricas bodegas de sake. Los horarios individuales varían según la bodega.
52;Templo Ninna-ji;Kioto, Japón;09:00 - 17:00;Famoso por sus cerezos Omuro de floración tardía. Cierra a las 16:30 de noviembre a febrero.
53;Santuario Kitano Tenmangu;Kioto, Japón;05:00 - 18:00;Dedicado al dios de los estudios. La sala del tesoro abre solo fines de semana y festivos (09:00-17:00).
54;Ohara y el templo Sanzen-in;Ohara, Kioto, Japón;09:00 - 17:00;Situado en un valle rural al norte de Kioto. Famoso por su musgo y estatuas Jizo.
55;Mercado Nishiki;Kioto, Japón;09:30 - 18:00;Conocido como 'la cocina de Kioto'. Muchos puestos cierran los miércoles o domingos.
56;Templo T?fuku-ji;Kioto, Japón;09:00 - 16:00;Destaca por sus puentes de madera elevados y sus espectaculares vistas otoñales.
57;Baños históricos Funaoka Onsen;Kioto, Japón;15:00 - 01:00;Sent? tradicional histórico con espectaculares tallas de madera. Abre desde las 08:00 domingos.
58;Kazeya Ryokan;Okuhida Onsen, Takayama, Japón;Check-in: 15:00;Check-out hasta las 10:00. Alojamiento tradicional con baños termales.
59;Baño termal mixto Shinhotaka-no-yu;Okuhida Onsen, Takayama, Japón;08:00 - 18:00;Rotenburo (baño exterior) junto al río. Cerrado en invierno y por crecidas fluviales.
60;Teleférico de Shinhotaka;Okuhida Onsen, Takayama, Japón;08:30 - 16:45;Teleférico de dos pisos con vistas a los Alpes Japoneses. Horario varía según la estación.
61;Cascada Hirayu;Hirayu Onsen, Alpes Japoneses, Japón;24 horas;Impresionante cascada de 64 metros de altura de libre acceso.
62;Paseo nocturno por Hirayu Onsen;Hirayu Onsen, Alpes Japoneses, Japón;24 horas;Paseo por la villa termal iluminada. Recomendable ir en yukata si se aloja allí.
63;Barrio Sanmachi Suji (Casco antiguo);Takayama, Japón;24 horas;Calles de la época Edo. Las tiendas y destilerías de sake abren de 09:00 a 17:00.
64;Takayama Jinya;Takayama, Japón;08:45 - 17:00;Antigua oficina del gobierno del shogunato. Cierra a las 16:30 de noviembre a febrero.
65;Yatai Kaikan (Museo de carrozas);Takayama, Japón;09:00 - 17:00;Exhibe las majestuosas carrozas utilizadas en el famoso Festival de Takayama.
66;Ruta de los templos Higashiyama Walk;Takayama, Japón;24 horas;Sendero tranquilo por el distrito de templos de Takayama. Interiores cierran a las 16:30.
67;Aldea folclórica Hida no Sato;Takayama, Japón;08:30 - 17:00;Museo al aire libre con casas tradicionales con tejados de paja estilo gassho-zukuri.
68;Museo subterráneo Matsuri no Mori;Takayama, Japón;09:00 - 17:00;Exhibición subterránea de réplicas de carrozas del festival y tambores taiko gigantes.
69;Santuario Sakurayama Hachimangu;Takayama, Japón;24 horas;Santuario principal del norte de Takayama, conectado al Yatai Kaikan.
70;Pagoda Chureito (Parque Arakurayama Sengen);Fujiyoshida, Yamanashi, Japón;24 horas;La icónica vista de la pagoda con el Monte Fuji al fondo. Libre acceso.
71;Lago Kawaguchiko;Fujikawaguchiko, Yamanashi, Japón;24 horas;Uno de los cinco lagos del Fuji. Las actividades y barcos operan de 09:00 a 17:00.
72;Oishi Park;Fujikawaguchiko, Yamanashi, Japón;24 horas;Parque a la orilla del lago con flores estacionales. Tiendas y cafés abren de 09:00 a 17:00.
73;Music Forest Museum;Fujikawaguchiko, Yamanashi, Japón;10:00 - 17:00;Parque temático dedicado a instrumentos musicales automáticos. Último acceso 16:00.
74;5ª Estación del Monte Fuji y Santuario Komitake;Monte Fuji (Ruta Yoshida), Japón;24 horas;Punto de partida de escalada. Tiendas y autobuses operan de 08:30 a 17:00 (varía según clima).
75;Trekking Nakanokura Pass;Lago Motosuko, Yamanashi, Japón;24 horas;Ruta de senderismo hacia el mirador de la imagen del billete de 1000 yenes.
76;Bosque Aokigahara;Monte Fuji, Yamanashi, Japón;24 horas;Caminatas por senderos designados. Se desaconseja salirse de las rutas oficiales.
77;Cuevas de Hielo y Viento;Bosque Aokigahara, Yamanashi, Japón;09:00 - 17:00;Entrada permitida hasta las 16:30. Pueden congelarse senderos en invierno.
78;Cima del Monte Fuji (Ruta Yoshida);Monte Fuji, Japón;Temporada;Abierta únicamente desde principios de julio hasta principios de septiembre para escalada oficial.
79;Santuario Kitaguchi Hongu Fuji Sengen y bosque de cedros;Fujiyoshida, Yamanashi, Japón;24 horas;Entrada tradicional histórica para ascender al Fuji. Oficinas de 09:00 a 16:30.
80;Cascada Shiraito;Fujinomiya, Shizuoka, Japón;24 horas;Alimentada por los deshielos del Monte Fuji. Acceso libre por escalinatas completas.
81;Barrio Kagurazaka;Tokio, Japón;24 horas;Antiguo distrito de geishas con restaurantes franceses y callejones pintorescos.
82;Santuario Akagi;Tokio, Japón;24 horas;Rediseñado por Kengo Kuma con estética moderna. Oficinas de 09:00 a 17:00.
83;Ayuntamiento de Tokio (Mirador Tocho);Shinjuku, Tokio, Japón;09:30 - 22:00;Entrada gratuita al mirador. Último acceso a las 21:30. Cerrado ciertos días festivos.
84;Samurai Restaurant Show;Kabukicho, Shinjuku, Tokio, Japón;15:00 - 22:00;Espectáculo temático con pases programados. Requiere reserva previa online.
85;Jardín Koishikawa Korakuen;Bunkyo, Tokio, Japón;09:00 - 17:00;Uno de los jardines paisajísticos más antiguos y bellos de Tokio. Último acceso 16:30.
86;Parque Shinjuku Gyoen;Shinjuku, Tokio, Japón;09:00 - 16:30;Cerrado los lunes. El horario de cierre se extiende hasta las 19:00 en pleno verano.
87;Templo Senso-ji, Puerta Kaminarimon y Calle Nakamise;Asakusa, Tokio, Japón;06:00 - 17:00;El recinto exterior abre 24h con iluminación nocturna. Las tiendas abren de 10:00 a 18:00.
88;Río Sumida;Asakusa, Tokio, Japón;24 horas;Paseos fluviales urbanos, especialmente concurrido en el festival de fuegos artificiales.
89;Tokyo Skytree y centro comercial Solamachi;Sumida, Tokio, Japón;10:00 - 21:00;Mirador Skytree abierto hasta las 21:00 (último acceso 20:00). Tiendas abren de 10:00 a 21:00.
90;Akihabara (Electric Town, Super Potato, Radio Kaikan);Akihabara, Tokio, Japón;11:00 - 20:00;Centro tecnológico y otaku. Los horarios comerciales varían según la tienda.
91;Calle Kappabashi (Suministros de cocina);Asakusa, Tokio, Japón;09:00 - 17:00;Especializada en menaje de cocina y réplicas plásticas de comida (sampuru). Muchos cierran domingo.
92;Maid Cafés;Akihabara, Tokio, Japón;11:00 - 22:00;Cafeterías temáticas. Varían según franquicia, algunas abren hasta más tarde el fin de semana.
93;Crucero Fluvial Hotaluna;Río Sumida a Odaiba, Tokio, Japón;Salidas;Barco futurista diseñado por Leiji Matsumoto. Sujeto a horarios de pasajes programados.
94;Sumida Aquarium;Sumida, Tokio, Japón;10:00 - 20:00;Fines de semana y festivos abre de 09:00 a 21:00. Ubicado en Tokyo Solamachi.
95;Santuario tecnológico Kanda My?jin;Chiyoda, Tokio, Japón;24 horas;Famoso por bendecir dispositivos informáticos y gadgets. Tienda de amuletos: 09:00-16:00.
96;Santuario Meiji Jingu y Parque Yoyogi;Shibuya, Tokio, Japón;Amanecer-Ocaso;Abre con la salida del sol y cierra con el ocaso (aprox. 05:00 a 18:00 en meses estivales).
97;Cruce de Shibuya y Estatua de Hachiko;Shibuya, Tokio, Japón;24 horas;Espacios públicos exteriores siempre abiertos. Máximo movimiento por la tarde/noche.
98;Mirador Shibuya Sky;Shibuya, Tokio, Japón;10:00 - 22:30;Imprescindible reservar entrada con semanas de antelación. Último acceso a las 21:20.
99;Harajuku (Takeshita Street);Harajuku, Tokio, Japón;24 horas;Calle peatonal pública. Las tiendas de moda y creperías operan de 10:00 a 20:00.
100;Avenida Omotesando y Cat Street;Harajuku, Tokio, Japón;24 horas;Zona de boutiques y moda urbana. Tiendas abren de 11:00 a 20:00 de forma general.
101;TeamLab Borderless;Azabudai Hills, Tokio, Japón;10:00 - 20:00;Museo de arte digital inmersivo. Cerrado algunos martes. Requiere reserva previa obligatoria.
102;Avenida Chuo Dori y Ginza Six | Ginza, Tokio, Japón;Ginza, Tokio, Japón;10:30 - 20:30;Los restaurantes del complejo Ginza Six abren de 11:00 a 23:00. Calle peatonal los fines de semana.
103;Roppongi Hills y Araña Maman;Roppongi, Tokio, Japón;24 horas;El complejo comercial abre de 11:00 a 21:00. La icónica escultura exterior es accesible siempre.
104;Torre de Tokio y Templo Zojoji;Minato, Tokio, Japón;09:00 - 22:30;Torre cierra a las 22:30 (última entrada 22:00). El templo Zojoji abre de 09:00 a 17:00.
105;Mercado Tsukiji (Exterior);Tsukiji, Tokio, Japón;05:00 - 14:00;Ideal para desayunar sushi. La mayoría de los puestos cierran domingos y miércoles.
106;Teatro Kabuki-za;Ginza, Tokio, Japón;Varía;Horarios según la obra en cartelera. La galería del sótano abre de 10:00 a 18:30.
107;Parque Ueno y Estanque Shinobazu (Templo Bentendo);Ueno, Tokio, Japón;05:00 - 23:00;El parque público cierra por la noche. El templo interior opera de 09:00 a 17:00.
108;Mercado Ameyoko;Ueno, Tokio, Japón;10:00 - 20:00;Callejón comercial muy animado debajo de las vías del tren. Varía por puesto.
109;Yanaka Ginza (Barrio Gato) y escaleras Yuyake Dandan;Yanaka, Tokio, Japón;24 horas;Barrio nostálgico. Las tiendas abren tarde, de 11:00 a 18:00 generalmente.
110;Nakano Broadway;Nakano, Tokio, Japón;12:00 - 20:00;Paraíso de tiendas vintage de anime (Mandarake). Abre significativamente más tarde al mediodía.
111;Museo Nacional de Tokio;Ueno, Tokio, Japón;09:30 - 17:00;Cerrado los lunes. Último acceso 30 minutos antes del cierre habitual.
112;Santuario Toshogu, Puente Shinkyo, Templo Rinno-ji y Santuario Futarasan;Nikko, Tochigi, Japón;08:00 - 17:00;Cierra a las 16:00 de noviembre a marzo. Último acceso 30 minutos antes.
113;Gran Buda (Daibutsu), Templo Hasedera y Calle Komachi-dori;Kamakura, Kanagawa, Japón;08:00 - 17:30;El Gran Buda cierra a las 17:30. El templo Hasedera cierra a las 17:00 en invierno.
114;Isla de Enoshima;Fujisawa, Kanagawa, Japón;24 horas;Las atracciones individuales de la isla (Faro Sea Candle, cuevas) abren de 09:00 a 20:00.
115;Cascadas Kegon y Lago Chuzenji;Nikko, Tochigi, Japón;08:00 - 17:00;El ascensor de las cascadas opera en este horario (puede acortarse en invierno por congelación).
116;Templo Engaku-ji;Kamakura, Kanagawa, Japón;08:00 - 16:30;Cierra a las 16:00 de noviembre a febrero. Uno de los principales templos Zen de Kamakura.
117;Kawagoe (Little Edo);Kawagoe, Saitama, Japón;24 horas;Distrito patrimonial de almacenes de arcilla. Tiendas tradicionales operan de 10:00 a 17:00.
118;Mercado de Toyosu (Senkyaku Banrai);Toyosu, Tokio, Japón;10:00 - 22:00;Zona gastronómica abierta hasta tarde. Los miradores y subastas del mercado operan de 05:00 a 15:00.
119;Tren monorraíl Yurikamome y Bahía de Tokio;Bahía de Tokio, Tokio, Japón;05:00 - 00:00;Línea automatizada elevada. Excelente opción para disfrutar de panorámicas de la bahía.
120;Odaiba (Estatua de la Libertad y Unicorn Gundam);Odaiba, Tokio, Japón;24 horas;Paseo marítimo abierto. El robot Gundam realiza pases de luces y transformación por la noche.
121;TeamLab Planets TOKYO;Toyosu, Tokio, Japón;09:00 - 22:00;Exhibición inmersiva descalzo. Requiere reserva de franja horaria exacta con antelación.
122;Parque DisneySea;Urayasu, Chiba, Japón;09:00 - 21:00;Los horarios pueden variar ligeramente en función del día de la semana y eventos privados.
123;Joypolis Tokyo;Odaiba, Tokio, Japón;10:00 - 20:00;Parque temático cubierto de SEGA. Fines de semana puede extenderse hasta las 21:00.
124;Tiendas Don Quijote (Mega Donki);Tokio, Japón;24 horas;Las tiendas insignias de Shibuya, Shinjuku y Akihabara no cierran nunca.
125;Aeropuerto de Haneda (HND);Tokio, Japón;24 horas;Terminales operativas de forma continua para vuelos internacionales y servicios clave.
